19:04:35,30.45,769.54,2261.19
19:04:38,30.45,769.53,2261.29
19:04:41,30.46,769.56,2260.98
19:04:44,30.46,769.55,2261.08
19:04:47,30.44,769.55,2261.08
19:04:50,30.43,769.58,2260.77
19:04:53,30.44,769.58,2260.77
19:04:56,30.44,769.60,2260.67
19:04:59,30.44,769.59,2260.67
19:05:02,30.43,769.61,2260.46
19:05:05,30.4,769.59,2260.67
19:05:08,30.39,769.66,2259.94
19:05:11,30.35,769.52,2261.40
19:05:14,30.34,769.52,2261.40
19:05:17,30.32,769.59,2260.67
19:05:20,30.33,769.56,2260.98
19:05:23,30.33,769.59,2260.67
19:05:26,30.33,769.59,2260.67
19:05:29,30.34,769.59,2260.56
19:05:32,30.35,769.59,2260.67
19:05:35,30.36,769.59,2260.67
19:05:38,30.37,769.61,2260.35
19:05:41,30.38,769.61,2260.46
19:05:44,30.39,769.60,2260.56
19:05:47,30.4,769.60,2260.56
19:05:50,30.4,769.55,2261.08
19:05:53,30.41,769.63,2260.25
19:05:56,30.42,769.60,2260.56
19:05:59,30.42,769.56,2260.98
19:06:02,30.42,769.62,2260.35
19:06:05,30.4,769.61,2260.46
22:24:14,29.05,771.65,2239.26
22:24:17,29.03,771.62,2239.68
22:24:20,29.04,771.62,2239.57
22:24:23,29.08,771.81,2237.60
22:24:26,29.09,771.59,2239.99
22:24:29,29.09,771.66,2239.16
22:24:32,29.09,771.97,2235.94
00:00:05,29.29,723.59,2751.19
