Tiempo,Temp_DHT,Humedad_DHT,Temp_BME,Presion_BME
15:30:47,24,89,25.30,768.80
15:30:48,23,82,24.77,769.51
15:30:49,23,81,24.73,769.57
15:30:50,23,81,24.72,769.57
15:30:51,23,81,24.71,769.51
15:30:52,23,81,24.72,769.57
15:30:53,23,80,24.70,769.57
15:30:54,23,79,24.70,769.54
15:30:55,23,78,24.71,769.54
15:30:56,23,77,24.71,769.54
