15:16:28,22,43,25.13,769.13
15:16:29,22,43,24.60,769.81
15:16:30,22,43,24.55,769.81
15:16:31,22,43,24.55,769.92
15:16:32,22,43,24.53,769.97
15:16:33,22,43,24.54,769.84
15:16:34,22,43,24.53,769.92
15:30:04,22,44,25.07,769.08
15:30:05,22,43,24.55,769.70
15:30:06,22,43,24.52,769.79
15:30:07,22,43,24.49,769.76
15:30:08,22,43,24.49,769.79
15:30:09,22,43,24.49,769.84
15:30:10,22,43,24.48,769.92
15:30:11,22,43,24.48,769.92
15:30:12,22,43,24.48,769.95
15:30:13,22,43,24.50,769.81
15:30:14,22,43,24.52,769.89
15:30:15,22,44,24.55,769.78
15:30:16,22,70,24.56,769.76
15:30:17,23,82,24.59,769.73
15:30:18,24,85,24.59,769.70
15:30:19,24,86,24.60,769.70
15:30:20,24,87,24.61,769.81
15:30:21,24,88,24.62,769.73
15:30:22,24,89,24.64,769.70
15:30:23,24,89,24.64,769.68
15:30:24,24,89,24.71,769.86
15:30:25,24,89,24.81,769.46
15:30:26,24,89,24.74,769.54
15:30:27,24,89,24.75,769.57
15:30:28,24,89,24.75,769.49
15:30:29,24,89,24.74,769.51
15:30:30,24,89,24.74,769.51
